Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-2.3114340298975E-18,-2.49661727576952E-18,0.0712047875746391,0,0,0,0.773964808173607,0.00165158388388288,1.77359155558733E-20,3.20730239042295E-20,0.00165158388388288,8.06725449229494E-20,0.00108841820370514,0,0,0,0,0,0,package://05_urdf/meshes/base_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://05_urdf/meshes/base_link.STL,,S7D05装配体20260225.STEP-1/S7D05_BASE.STEP-1,坐标系1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,-6.27014466842875E-08,0.00482722745536075,-0.0389580164451526,0,0,0,0.11542582222179,0.000465992025017058,4.77811144659095E-10,-2.80428730679331E-11,0.00016868491861097,-1.38771347564276E-05,0.000408024931443451,0,0,0,0,0,0,package://05_urdf/meshes/link1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://05_urdf/meshes/link1.STL,,S7D05装配体20260225.STEP-1/S7D05_J1.STEP-1,坐标系2,基准轴1,joint1,revolute,0,0,0.2015,0,0,0,base_link,0,0,1,0,0,-3.14159,3.14159,,,,,,,,
link2,-4.74279603278879E-07,-0.00238707203789365,0.00641482113063515,0,0,0,0.671933072663722,0.00109683895158544,9.68673222116744E-10,-3.21977600576348E-09,0.00107503677098996,-6.71350327066775E-06,0.000749785827852606,0,0,0,0,0,0,package://05_urdf/meshes/link2.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://05_urdf/meshes/link2.STL,,S7D05装配体20260225.STEP-1/S7D05_J2.STEP-1,坐标系3,基准轴2,joint2,revolute,0,0,0,-1.5708,0,0,link1,0,0,-1,0,0,-1.570796,1.570796,,,,,,,,
link3,-3.27991598820768E-08,0.000707831991228634,-0.134379473160013,0,0,0,0.535193477137708,0.00228258309750054,2.85047320493322E-10,-9.55510821731168E-10,0.00205198816547035,-4.42970588133896E-05,0.000648776561188868,0,0,0,0,0,0,package://05_urdf/meshes/link3.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://05_urdf/meshes/link3.STL,,S7D05装配体20260225.STEP-1/S7D05_J3.STEP-1,坐标系4,基准轴3,joint3,revolute,0,-0.268,0,1.5708,0,0,link2,0,0,1,0,0,-3.14159,3.14159,,,,,,,,
link4,6.66899653217958E-07,0.00223258980195162,-0.0058784433009843,0,0,0,0.432629764359648,0.000550972464639143,6.5456634898788E-10,-7.61108420479432E-10,0.000532655284185299,-2.9733393283635E-06,0.000363904632727618,0,0,0,0,0,0,package://05_urdf/meshes/link4.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://05_urdf/meshes/link4.STL,,S7D05装配体20260225.STEP-1/S7D05_J4.STEP-1,坐标系5,基准轴4,joint4,fixed,0,0,0,1.5708,0,0,link3,0,0,0,0,0,-1.91986,0.785398,,,,,,,,
link5,-2.07288987001329E-08,0.000863731415071189,-0.0916501642823235,0,0,0,0.339446455633245,0.000802197486080185,5.18265929844021E-11,-2.86160243916752E-10,0.000668633536221289,-2.24293849267877E-05,0.000328372285722591,0,0,0,0,0,0,package://05_urdf/meshes/link5.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://05_urdf/meshes/link5.STL,,S7D05装配体20260225.STEP-1/S7D05_J5.STEP-1,坐标系6,基准轴5,joint5,revolute,0,0.204,0,-1.5708,0,0,link4,0,0,1,0,0,-3.14159,3.14159,,,,,,,,
link6,-0.00330721620543797,-0.0439303050793391,0.00359276088791737,0,0,0,0.547888830979543,0.00141850405143817,-7.98579931723387E-05,-6.50994152437735E-06,0.000532109462297349,-8.45910180026101E-05,0.00141609272418089,0,0,0,0,0,0,package://05_urdf/meshes/link6.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://05_urdf/meshes/link6.STL,,S7D05装配体20260225.STEP-1/S7D05_J6-2.STEP-1,坐标系7,基准轴6,joint6,revolute,0,0,0,-1.5708,0,0,link5,0,0,1,0,0,-1.570796,1.570796,,,,,,,,
link7,0.0505808151023279,-9.2706335535143E-08,0.000565537163071066,0,0,0,0.209412563196472,0.000277624119983858,2.91597710496231E-11,8.41906536722752E-06,0.000301158382571895,3.83899193000883E-10,0.000167308826304381,0,0,0,0,0,0,package://05_urdf/meshes/link7.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://05_urdf/meshes/link7.STL,,S7D05装配体20260225.STEP-1/S7D05_J7-3.STEP-1,坐标系8,基准轴7,joint7,revolute,-0.001,-0.088,0,-1.5708,0,-1.5708,link6,0,0,1,0,0,-1.570796,1.570796,,,,,,,,
end_link,-0.0254191848976723,-9.27063355352614E-08,0.000565537163071072,0,0,0,0.209412563196472,0.000277624119983858,2.9159771054623E-11,8.41906536722753E-06,0.000301158382571895,3.83899193001296E-10,0.000167308826304381,0,0,0,0,0,0,package://05_urdf/meshes/end_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://05_urdf/meshes/end_link.STL,,S7D05装配体20260225.STEP-1/S7D05_J7-3.STEP-1,坐标系9,,end_joint,fixed,0.076,0,0,0,0,0,link7,0,0,0,,,,,,,,,,,,
